IsotopeName	AtomicNumber	MassNumber	ExcitationEnergy	TotalAngularMomentum	BranchingRatio
U235	92	235	0.0000	0	1.0000
Th231	90	231	0.0000	0	1.0000
Pa231	91	231	0.0000	0	1.0000
Ac227	89	227	0.0000	0	1.0000
Th227	90	227	0.0000	0	0.9862
Fr223	87	223	0.0000	0	0.0138
Ra223	88	223	0.0000	0	1.0000
Rn219	86	219	0.0000	0	1.0000
Po215	84	215	0.0000	0	1.0000
Pb211	82	211	0.0000	0	1.0000
Bi211	83	211	0.0000	0	1.0000
Po211	84	211	0.0000	0	1.0000
